,Bankrekening,Consumentenkrediet,Creditcard,Hypotheek,Incasso,Kredietregistratie
targeted,24,2,5,6,3,0
communication,40,25,58,151,264,47
record,142,66,144,358,452,448
contradicts,2,1,2,4,2,1
shot,16,8,10,14,6,14
saved,5,3,5,15,11,1
sign,63,34,73,260,85,51
prove,31,9,33,80,103,76
contacting,28,28,36,81,176,45
placed,104,28,104,190,221,140
national,32,13,21,73,101,18
costumer,3,1,3,7,2,2
station,14,0,18,2,11,3
telling,56,42,89,184,147,43
overdrew,7,0,1,0,0,1
pre,21,30,21,115,27,17
authorized,122,32,92,80,76,148
spend,24,6,70,31,7,14
took,201,156,172,448,210,109
asking,71,56,142,337,285,155
thank,114,49,123,210,158,222
covered,29,13,23,27,51,12
closing,77,21,91,706,31,24
withdrew,50,6,5,20,20,2
exist,15,2,11,33,41,22
log,39,12,22,36,17,15
collecting,7,8,8,40,108,6
debt,109,197,295,456,6675,1042
behalf,26,13,23,133,122,41
explained,130,92,182,256,198,88
csr,13,5,18,28,0,3
informed,228,138,249,513,368,142
associated,44,9,28,47,74,50
referred,27,8,20,84,50,18
recovery,6,20,12,13,466,14
gave,145,90,155,250,268,113
speak,109,79,134,292,219,82
banker,124,5,19,49,4,8
discussion,12,5,13,22,8,3
manager,327,101,176,337,178,55
collection,70,139,214,179,3262,1010
hand,37,14,28,87,33,29
bright,1,0,0,1,6,0
side,24,11,34,41,15,18
exclaimed,1,0,0,0,0,0
hear,41,13,44,104,59,17
began,37,32,41,177,99,23
charles,2,0,0,0,0,0
schwab,5,0,0,0,0,0
vehicle,21,625,12,9,104,57
stopped,42,21,60,119,94,22
making,87,115,150,480,194,99
adequate,4,3,6,16,15,6
importantly,4,3,11,10,7,5
corrected,26,31,47,105,33,119
story,34,10,44,80,29,11
terminate,3,3,4,22,6,4
termination,10,4,0,18,21,16
preceding,4,0,2,5,2,1
select,12,2,11,99,9,5
surrounding,3,2,2,8,1,2
admitting,4,1,3,10,5,2
offered,71,59,122,241,82,21
refusal,11,4,11,24,27,17
husband,81,55,114,355,231,65
dropped,12,21,34,65,53,67
thousand,17,10,21,36,12,8
assuming,7,3,6,13,13,6
qualify,24,15,35,214,6,13
outside,27,6,22,37,44,15
clean,2,5,5,11,13,16
high,33,52,80,147,48,49
actual,26,15,39,77,49,63
recent,32,20,63,98,58,63
interaction,2,1,6,2,3,0
allowed,91,36,68,161,110,107
pnc,156,39,37,121,9,0
withdraw,92,8,5,33,25,5
prepaid,11,0,6,9,13,0
reload,3,0,0,0,0,0
child,23,10,16,133,41,48
third,94,54,57,152,149,79
cant,30,8,20,50,25,27
netspend,33,0,0,0,0,0
transfer,265,41,304,270,77,29
thenm,1,0,0,0,0,0
perfisinal,1,0,0,0,0,0
everday,1,0,0,0,0,0
ed,2,0,1,7,6,5
sen,3,1,1,0,0,2
chashier,1,0,0,0,0,0
request,199,106,322,1069,572,646
fun,2,0,1,5,3,0
everyday,14,15,5,12,32,1
yes,43,20,40,87,51,21
deceived,4,6,7,16,3,3
contradictory,4,0,2,1,0,0
agent,81,59,136,435,149,111
stonewall,2,0,0,3,0,1
repeat,4,2,11,17,11,8
provably,1,0,0,0,0,0
incorrect,30,29,59,176,72,361
contradict,3,0,0,3,0,0
repeated,14,6,30,62,78,23
follow,53,27,64,141,74,88
response,127,66,166,531,361,356
various,28,11,22,62,39,21
step,29,10,43,91,38,45
discover,60,20,316,10,15,4
debited,37,13,29,27,8,1
per,92,96,116,418,178,158
ten,13,4,5,47,20,22
unauthorized,126,13,68,21,33,163
concerned,27,16,35,60,31,21
executor,11,0,1,9,5,0
county,10,5,8,202,92,56
florida,14,10,28,47,43,10
estate,68,15,11,222,29,11
purpose,21,15,34,59,76,65
consulting,2,0,4,2,7,2
travel,15,3,65,4,8,4
pleading,1,1,0,7,6,1
successful,6,2,9,18,16,14
pursuit,2,1,1,2,3,6
beneficiary,22,0,1,24,10,0
contested,2,0,0,7,9,2
written,74,37,92,263,257,156
image,20,1,9,8,3,7
telephone,47,17,50,98,136,72
consultation,2,1,1,3,3,0
totalling,3,3,4,4,1,0
additionally,25,8,21,76,62,29
dated,46,44,86,345,156,143
combined,8,4,2,8,3,8
conf,1,0,0,2,0,0
trans,1,0,1,3,7,162
rescinded,1,2,0,17,5,0
dishonoring,1,0,0,0,0,0
properly,27,19,48,115,57,72
bringing,10,4,7,18,8,6
consequential,1,0,0,0,0,0
damage,18,48,49,135,145,95
proximately,2,0,0,0,0,0
demand,17,13,17,75,95,71
resulted,23,8,29,65,33,19
named,36,10,37,66,125,36
consideration,12,4,12,51,13,13
clearly,70,36,88,176,93,101
mind,15,14,21,41,14,10
final,29,36,44,168,87,60
investigated,20,12,41,35,44,94
meaningful,3,1,1,0,5,3
include,18,13,24,102,40,37
drastic,1,1,1,4,1,1
harmful,3,0,1,2,1,3
compliance,12,6,9,41,36,29
ucc,4,1,0,7,3,10
calendar,13,2,7,8,5,5
required,80,57,95,445,184,191
breach,23,7,19,28,23,31
represented,7,1,14,32,26,5
offense,3,1,0,3,2,2
obtaining,9,10,8,27,20,28
pretense,2,1,1,7,5,0
remedy,14,4,5,37,16,11
reinstatement,1,2,1,43,2,0
emotional,3,4,0,21,6,6
distress,5,6,1,18,6,3
rating,14,18,44,49,31,45
saw,50,31,72,45,52,44
appropriately,7,0,6,15,1,0
removed,90,79,228,193,485,1090
description,11,1,12,16,12,16
whatsoever,6,3,15,18,20,20
hour,192,50,160,220,169,62
conversation,41,39,61,181,117,29
staff,26,11,14,41,27,6
forwarded,20,10,25,66,54,23
assure,9,0,9,24,4,16
indeed,25,4,30,36,25,32
completely,45,38,92,119,64,71
resolved,88,38,106,156,126,113
believed,9,5,26,28,14,10
opportunity,23,17,41,80,45,32
finding,16,13,13,37,22,29
proper,31,14,24,94,78,107
group,12,2,7,59,102,7
authenticated,1,1,0,4,2,0
appeared,18,6,24,29,40,30
warning,34,7,29,12,12,12
fortunately,1,1,0,7,2,0
overdraw,12,0,0,0,0,0
easily,6,6,14,23,10,13
happened,139,50,138,225,93,80
otherwise,27,8,26,36,26,38
justify,5,1,6,12,2,6
refer,9,5,12,23,18,12
far,42,20,41,98,54,41
financially,11,8,16,36,19,10
benefitted,1,1,0,0,0,0
perpetuated,1,0,0,0,0,0
something,92,68,89,227,184,116
challenge,5,1,1,14,11,21
kind,49,22,40,79,61,53
idea,27,13,40,79,91,30
pursue,9,1,12,33,39,22
appeal,12,4,8,162,18,4
meantime,15,5,15,43,15,13
intent,13,9,17,58,27,11
especially,27,11,29,65,45,21
division,12,5,8,40,15,9
worst,17,8,14,48,7,14
wellsfargo,20,2,1,17,0,0
blue,5,4,14,9,9,1
center,56,11,45,58,38,14
blocked,42,4,17,18,26,42
unlock,5,0,1,1,0,1
answered,20,20,31,72,123,18
accordingly,4,2,8,19,17,24
intern,3,0,0,0,1,0
indication,6,2,7,15,13,2
refinancing,10,3,2,127,2,8
interview,4,1,0,5,5,1
appriasels,1,0,0,0,0,0
appr,1,0,0,0,0,1
valuation,1,2,0,46,0,1
ratio,3,3,3,71,0,6
appraisal,5,10,6,524,1,0
wanted,118,71,153,287,193,56
redeem,6,6,17,1,0,0
refunding,8,3,3,10,2,2
unnecessary,10,6,3,34,7,3
starting,15,7,18,88,40,18
progress,9,2,5,41,4,8
direction,6,1,4,24,7,1
proceed,19,6,10,96,28,16
greatly,8,8,12,35,15,25
appreciated,9,5,11,31,10,19
state,192,138,175,616,572,474
debiting,4,3,2,4,0,1
crediting,8,0,8,11,6,6
explaining,30,13,34,55,56,22
download,5,0,13,5,2,5
highlighted,3,0,0,7,2,7
processed,59,18,57,117,18,22
indicating,12,13,35,73,54,42
intentional,3,8,8,12,7,7
fleecing,1,0,0,0,0,0
giant,1,0,1,0,1,2
santander,25,117,7,8,8,3
yr,8,8,12,79,39,43
cd,71,3,1,13,0,0
taken,150,100,114,262,235,104
sovereign,1,0,3,0,0,0
phoned,11,6,8,7,12,1
registered,17,10,14,27,41,19
reinvested,2,0,0,0,0,0
maturity,11,9,0,29,1,0
evidence,31,16,55,104,131,128
requesting,42,52,76,248,230,231
closure,39,4,29,8,11,6
junior,2,0,0,5,0,0
event,30,16,27,41,32,16
thought,75,37,112,161,80,53
formy,1,0,0,1,0,0
nearly,23,17,45,69,23,17
sum,17,10,11,24,20,2
accumulated,11,3,13,5,7,1
consistently,3,3,9,42,11,11
core,6,1,0,17,2,0
gain,18,1,9,19,6,9
top,26,20,38,56,27,17
supervisor,138,83,277,329,179,104
rhode,1,0,0,0,1,1
island,1,0,0,0,1,1
declined,51,30,109,94,25,26
talk,53,40,73,137,110,32
listen,10,11,26,24,38,9
authenticate,3,0,2,2,0,7
levy,4,0,1,0,28,0
collector,10,12,15,42,714,71
firm,20,13,27,126,255,35
illegal,51,42,62,127,189,65
reside,6,4,4,14,18,6
statue,2,5,2,14,45,25
limitation,2,5,7,19,156,38
released,43,11,10,61,19,43
half,42,24,25,119,43,16
boa,119,1,76,174,1,0
lawful,8,0,1,3,11,5
ok,26,13,25,56,32,31
start,33,24,36,243,90,45
ssi,5,1,0,5,6,2
social,102,27,69,72,226,258
belongs,7,2,7,7,48,49
wonder,6,1,6,21,7,5
specially,2,0,2,3,1,2
older,10,0,7,8,16,3
luke,1,0,0,0,0,0
machine,70,2,14,11,38,3
ohio,10,7,2,19,15,9
roughly,8,6,8,20,4,0
failed,84,36,100,306,205,178
confirming,29,3,13,29,19,13
repeatedly,36,31,52,148,206,75
consecutive,16,3,8,12,1,4
demanded,14,7,15,45,52,12
superior,4,5,2,16,19,9
whatever,25,7,18,40,32,22
unspecified,2,0,1,2,1,0
conditional,5,0,7,10,1,1
throughout,11,9,10,70,24,4
entire,39,22,106,151,55,38
figured,7,7,11,20,6,7
demanding,14,27,9,58,72,50
sort,21,10,13,44,34,11
possibly,12,8,18,46,29,22
although,56,19,66,137,66,57
faith,15,6,21,114,24,15
promise,22,11,28,53,21,4
included,31,41,72,231,89,130
known,24,16,26,69,60,28
subject,24,9,33,55,31,15
office,177,88,139,419,468,101
avoid,48,19,56,129,33,15
delivered,26,9,45,26,31,15
chickening,1,0,0,0,0,0
saturday,38,21,14,22,14,2
voice,22,18,20,49,124,7
talked,53,27,68,132,83,24
void,9,11,2,33,19,3
checked,84,36,69,77,87,59
repeating,4,1,7,7,4,2
expecting,10,3,13,20,6,3
sir,15,4,15,24,39,17
madam,10,1,10,13,23,15
long,103,44,111,227,101,82
add,44,27,55,122,46,49
hardship,18,39,32,227,34,24
advice,8,8,7,37,17,5
highly,13,3,22,19,13,9
regional,7,16,2,2,8,2
acceptance,2,78,9,24,41,4
corp,3,19,2,22,29,0
subsidiary,1,1,3,17,9,5
bb,44,5,16,34,0,1
monies,40,13,7,59,25,5
illegally,19,15,28,61,62,36
consent,32,15,56,56,70,56
knowledge,48,24,53,83,167,81
become,17,8,8,48,34,16
latest,14,1,11,24,17,9
digital,2,2,1,3,4,1
production,2,1,1,1,6,2
ui,1,0,0,2,0,0
offline,1,1,1,0,1,0
status,85,51,83,272,106,194
school,16,3,10,59,51,26
tuition,7,0,1,0,10,3
inability,8,7,10,33,5,11
among,7,0,7,16,5,7
inconvenience,14,1,12,7,7,4
meanwhile,10,2,10,29,16,6
cleaning,1,0,2,2,15,5
criminally,2,0,0,0,0,1
specifically,39,16,31,82,62,46
authentication,4,0,1,1,3,4
link,11,9,51,17,8,15
broken,12,9,11,26,29,21
ie,5,2,3,9,3,3
chrome,1,0,0,0,0,0
ff,1,0,2,5,0,0
concerning,27,8,21,55,66,38
login,24,10,12,9,0,5
com,20,12,41,21,13,44
unlocked,3,0,4,1,3,0
move,41,16,30,180,65,40
payday,6,18,0,2,83,6
causing,43,23,29,68,43,44
achieve,1,1,1,6,2,1
happen,72,21,42,110,40,30
hole,2,2,7,15,2,5
penny,12,2,18,43,7,5
overage,6,4,1,36,0,0
cent,26,8,13,5,7,0
b,45,12,66,101,90,137
c,16,6,45,102,148,109
chexsystems,7,0,0,0,0,44
killing,3,1,0,1,3,4
excessively,4,1,1,5,3,1
exceed,4,1,5,11,0,1
reordered,6,0,0,1,0,1
impose,4,0,6,7,2,0
regularly,3,2,16,16,9,4
prevent,24,6,23,55,17,23
mishap,3,1,2,3,0,1
reorder,1,0,1,1,0,0
arrears,1,0,2,57,6,1
incurred,26,5,29,29,36,15
merchant,79,1,249,0,24,12
fail,14,3,12,35,27,34
recognise,1,0,0,0,0,0
overlook,2,0,0,2,0,1
anyway,19,9,30,47,28,16
incident,41,9,24,22,12,13
occurred,50,8,39,63,42,26
associate,26,15,23,11,196,6
reversing,5,0,7,1,0,2
explain,59,52,63,196,99,55
synchrony,6,30,283,0,28,1
financial,155,325,157,593,383,145
incur,24,4,12,14,8,2
necessary,47,10,20,92,41,36
requiring,9,1,12,37,8,7
applies,4,2,8,12,3,5
considering,9,13,13,36,15,10
faq,4,1,2,1,0,1
free,56,17,114,76,45,196
operating,6,1,4,18,11,0
swallowed,2,1,0,0,0,0
canceled,13,6,50,73,54,14
fully,22,12,35,65,49,38
cancel,41,22,161,84,46,58
withdrawal,152,15,14,37,24,13
withdrawn,32,7,8,22,21,15
cancelled,44,16,160,101,87,46
original,86,95,153,465,641,307
remaining,33,49,63,68,44,22
four,17,14,22,86,39,20
complaining,11,4,13,16,11,11
previous,63,39,92,249,129,98
responded,42,21,49,141,161,108
acknowledgement,4,0,2,23,4,1
news,17,3,4,21,10,4
student,30,14,13,23,153,124
feeling,14,2,10,14,10,3
advantage,39,28,32,57,26,6
expect,33,12,33,50,11,31
package,32,8,16,210,10,14
allows,21,6,5,22,30,26
cashier,49,3,15,22,9,1
advantageous,3,0,0,1,0,0
occasion,51,39,43,123,82,63
addressing,4,1,7,14,3,7
benefit,45,15,117,78,22,13
suggesting,4,0,1,7,1,1
removal,11,11,9,41,25,60
disappointing,6,2,6,7,1,1
compensation,17,4,24,31,11,1
oversight,4,4,4,19,2,6
proposed,3,0,4,11,4,4
connected,13,8,12,14,16,6
plane,2,0,6,2,0,0
automatic,40,26,88,95,26,8
watch,7,3,7,5,4,3
closely,3,3,6,5,1,4
exactly,23,14,30,67,22,28
suggests,2,0,2,1,1,4
normal,14,12,20,53,21,16
apr,3,32,113,12,6,10
annual,17,4,171,56,10,67
percentage,2,6,8,10,5,5
less,48,29,64,223,70,43
little,34,26,31,102,40,14
f,10,4,6,66,42,16
continue,81,72,103,295,333,146
think,79,33,120,185,132,69
ease,2,1,1,1,0,0
trap,1,0,6,2,1,1
ponzi,1,0,0,0,2,1
skim,1,0,0,0,0,0
refi,1,1,2,69,1,3
appraised,1,1,0,64,0,1
dragging,2,1,0,14,0,3
officer,43,21,6,173,23,14
switched,9,6,17,18,13,5
trip,14,3,39,9,9,0
previously,26,29,56,132,108,135
signer,11,9,1,31,15,9
actually,63,27,94,142,97,73
lesser,3,1,4,10,1,2
endorser,1,0,0,0,0,0
everything,80,42,67,315,63,67
valid,33,7,70,62,139,82
reversed,53,21,57,35,11,10
extort,2,3,2,2,16,5
sell,8,15,17,229,34,19
product,58,12,128,39,39,40
treated,34,13,31,53,31,11
inhumanly,1,0,0,0,0,0
extremely,32,15,33,77,74,21
unprofessionally,1,0,3,1,1,0
disrespect,2,2,2,3,1,0
deprivation,1,0,0,0,0,0
livelihood,1,1,1,3,1,3
insult,10,1,6,8,9,4
character,3,1,3,5,25,13
impact,11,9,25,15,31,37
survival,1,0,1,1,0,0
woman,21,20,33,57,81,11
valley,2,0,0,5,2,0
located,60,15,21,69,45,17
ny,25,2,22,33,30,26
possibility,8,0,3,21,6,4
teen,1,0,0,1,0,0
questioning,2,3,2,12,8,7
willingness,2,1,1,4,1,2
obvious,15,1,7,27,6,22
discrimination,10,7,20,32,4,9
race,1,3,2,5,0,3
gender,1,0,1,3,0,1
rejected,44,7,31,70,9,12
rudely,7,1,6,8,8,1
discovered,36,19,49,75,73,50
area,29,8,19,68,52,9
rife,1,0,0,1,0,0
scammer,4,3,4,1,12,0
rip,11,7,3,2,1,1
cardholder,6,0,41,0,1,0
scam,45,24,58,53,127,18
discovering,2,0,1,6,1,0
totaled,8,22,5,8,7,3
shocked,14,10,25,26,12,7
notifying,18,3,23,33,34,14
assistant,24,1,3,32,13,0
borrow,6,4,6,17,6,3
pick,21,14,20,20,31,4
equipment,14,5,5,2,88,17
investigating,19,5,14,13,14,35
assumed,20,9,23,44,35,8
pull,20,23,43,47,20,80
footage,14,1,1,9,0,0
moreover,8,6,5,15,14,8
recourse,9,6,16,29,17,8
spoken,15,15,25,75,60,22
choice,15,6,24,47,19,13
best,23,34,83,92,45,36
allow,81,31,69,162,68,83
specified,8,2,5,17,7,5
option,59,61,116,323,95,58
designed,8,3,8,24,6,3
affordable,1,2,3,122,3,1
pace,1,0,0,1,0,1
manually,6,4,9,3,1,7
enter,7,4,13,28,13,14
scheduled,28,31,40,210,35,10
maintaining,4,0,3,11,2,6
forgive,2,4,3,6,0,0
exact,23,9,31,46,44,34
food,33,2,4,13,17,4
oblivious,1,0,0,0,0,0
fiancee,11,0,0,0,2,0
ranging,2,2,0,0,1,1
rarely,4,2,3,6,2,1
sparingly,1,0,0,0,0,0
couple,37,30,57,100,66,44
seeing,16,7,14,21,19,21
red,13,3,6,14,14,3
flag,10,0,5,12,14,1
blown,2,1,2,1,1,0
ordering,6,2,3,5,6,8
sometimes,12,9,15,43,38,8
sworn,1,0,3,5,3,3
lower,20,31,55,221,22,41
page,36,13,60,166,41,73
hassle,8,4,9,2,3,2
fill,15,10,21,46,18,14
affidavit,21,3,16,49,94,56
sheet,4,2,6,30,5,4
replaced,12,5,12,17,5,5
shocking,2,2,1,2,1,1
replace,11,5,13,17,8,5
fair,34,47,84,137,350,325
absolutely,16,13,24,48,29,30
instead,86,59,149,267,131,70
submitted,96,49,77,582,178,210
insufficient,52,9,18,34,11,7
adding,9,12,20,55,17,17
rent,35,8,5,73,111,50
intact,3,0,1,2,0,0
local,125,34,36,97,73,33
deceased,17,2,8,26,15,3
visit,32,3,11,11,61,9
fraudulently,18,10,27,28,38,23
acct,43,27,62,28,103,133
ill,6,9,5,27,19,4
thru,30,24,22,116,30,26
retrieved,6,1,1,3,3,1
gold,15,0,30,0,8,6
meeting,34,1,10,48,17,5
specific,34,12,19,81,30,45
completing,14,5,10,19,2,3
confirm,49,18,50,84,51,48
successfully,19,2,10,27,8,19
achieved,1,0,0,0,1,2
condition,38,26,84,77,31,13
airline,9,0,25,0,0,0
till,34,21,25,48,29,20
past,121,126,239,459,292,259
witch,5,0,1,2,3,2
positive,39,4,9,17,2,27
outcome,8,2,11,13,25,13
outrageously,2,0,0,1,0,1
embarrassing,4,2,6,2,12,3
serious,24,5,27,46,26,57
frightened,1,0,0,2,2,0
windfall,1,0,0,0,0,0
celebrated,1,1,0,1,0,0
bit,17,7,10,19,7,8
quite,20,6,20,37,24,16
watching,3,0,0,4,1,5
professional,7,6,6,44,53,9
poker,1,0,0,0,0,0
television,1,0,0,0,5,1
foolishly,1,0,0,2,0,0
gamble,2,0,0,0,0,0
maryland,5,4,4,17,8,11
casino,6,0,3,0,4,0
gambling,3,0,1,0,0,0
regulated,1,0,1,1,0,2
naive,2,1,0,0,0,2
novice,1,0,0,1,0,0
gambler,1,0,0,0,0,0
referral,4,2,5,8,3,1
advertised,5,5,33,5,0,1
player,1,0,0,1,0,0
united,23,6,11,52,55,27
abiding,1,0,2,4,5,2
regulation,43,11,22,118,26,34
newly,14,2,1,10,3,3
minted,1,0,0,0,0,0
degenerate,1,0,0,0,1,0
continued,52,49,65,216,221,59
drink,2,0,1,1,0,0
admittedly,1,0,2,2,1,1
considerable,10,1,5,3,4,2
plus,52,46,91,138,59,34
winning,1,0,2,3,0,0
certain,50,9,44,56,72,23
suntrust,103,21,0,79,0,0
sounded,5,2,6,10,10,0
agitated,1,0,0,2,2,1
hurriedly,1,0,0,0,0,0
recalcitrantly,1,0,0,0,0,0
wave,1,0,3,4,2,0
regardless,15,6,24,32,24,12
nature,7,3,16,24,27,17
bed,3,2,2,1,11,0
gullible,2,0,0,0,0,0
loser,2,0,0,0,1,0
creation,4,0,1,1,3,1
woke,6,1,2,0,4,0
futhermore,1,0,1,0,1,0
truthful,4,1,1,4,1,2
aghast,1,0,0,0,0,0
implied,6,0,0,8,15,1
bearing,3,3,3,15,49,43
inappropriately,1,1,1,0,2,0
recklessly,1,0,0,0,1,0
reasonably,5,1,7,9,3,7
prudently,1,0,0,1,0,0
accused,4,1,3,11,17,2
naivety,2,0,0,0,0,0
knowing,25,17,36,60,38,18
share,24,3,10,18,37,17
party,56,47,65,201,291,113
either,84,44,115,218,148,110
enforcement,7,5,3,14,18,22
uigea,2,0,0,0,0,0
ignoring,7,5,2,17,16,10
willful,1,1,6,3,9,18
admission,2,0,6,7,12,0
conducted,14,1,12,35,15,22
tacitly,1,0,0,0,1,0
condoning,1,0,0,0,0,0
denying,19,3,13,43,10,7
revoked,2,2,9,4,9,1
draw,9,2,5,31,0,2
permission,38,23,54,55,81,58
transferring,9,2,9,26,8,4
world,9,3,9,12,10,10
wont,10,8,7,26,6,8
experience,40,20,57,76,15,20
problematic,1,0,2,1,1,1
series,8,1,9,18,9,3
beginning,27,21,28,121,43,19
enrolled,18,8,29,9,7,19
promoted,1,1,4,4,1,0
ensure,26,11,29,57,24,30
processing,42,12,31,95,27,17
etc,46,20,58,160,89,61
continuing,13,5,23,51,47,28
course,43,23,43,101,42,29
irregular,2,0,1,0,0,0
pattern,10,0,10,15,9,1
afterwards,9,1,9,9,5,2
bothered,4,0,3,3,8,4
example,17,12,28,51,16,24
might,23,10,30,59,29,18
incurring,7,2,6,12,2,1
hundred,13,3,11,25,14,3
dozen,3,0,12,12,13,1
occuring,1,0,1,1,0,0
confronted,2,1,2,3,0,2
batching,5,0,0,0,0,0
highest,6,4,20,17,2,11
lowest,4,0,10,5,4,2
evenetually,1,0,0,0,0,0
forced,28,22,32,183,32,24
de,6,1,4,5,9,7
enroll,2,1,5,4,0,6
coverage,22,15,11,90,20,6
recorded,30,28,46,195,115,26
disallow,1,0,1,0,0,0
depleted,11,0,1,5,0,0
thankfully,3,2,1,5,1,3
recover,14,10,1,11,29,8
begun,3,2,5,14,14,3
insufficent,2,0,0,0,0,0
unexplained,2,1,1,10,2,0
upwards,4,0,3,3,2,0
excess,9,12,28,30,14,2
overall,6,2,8,13,4,11
acquire,3,4,3,13,5,7
routing,24,2,16,8,12,0
sense,18,14,28,63,21,19
neither,17,13,29,79,64,46
retailer,4,0,6,0,0,2
type,61,28,56,126,108,56
agreeing,4,1,4,9,12,7
neighbor,4,0,5,19,20,1
referee,3,0,0,0,0,0
anyone,50,32,67,170,124,104
bear,3,1,3,9,7,7
created,27,9,14,66,43,34
bonus,182,2,261,12,1,0
equally,2,0,3,0,2,1
replenish,2,0,0,1,0,0
soon,61,21,53,131,57,97
selected,6,3,8,10,4,5
view,20,7,25,18,13,87
reflect,12,25,28,76,24,57
incorrectly,16,19,17,43,22,75
deadline,17,11,32,58,10,6
dodged,1,1,0,1,0,0
brought,28,29,30,82,38,34
ended,18,24,50,94,59,26
fianc,1,0,0,5,2,0
inform,36,17,35,88,68,28
assessed,27,9,35,62,10,3
extended,40,27,21,34,11,22
introduced,6,3,2,3,4,0
expressed,11,9,16,20,17,8
dishonest,21,1,12,13,5,8
misleading,23,10,42,37,44,22
reflected,9,9,15,33,14,19
soonest,1,0,4,0,1,0
intentionally,12,10,13,46,19,18
university,4,3,2,2,32,13
working,69,35,78,333,132,53
supported,3,0,2,13,2,8
infuriated,1,1,2,0,0,0
barely,6,2,2,14,5,6
grow,2,0,1,9,2,1
constantly,13,14,7,51,48,9
robbed,4,3,3,3,2,0
hard,66,53,101,162,58,297
earned,20,3,58,8,5,1
creates,5,2,2,3,3,2
enables,1,0,0,2,0,0
maintenance,43,0,5,18,13,11
criterion,23,1,10,23,10,1
earlier,27,19,44,73,32,15
capital,126,104,401,49,128,13
moneyorder,1,0,0,0,0,0
priority,3,0,6,13,6,8
returning,14,10,12,35,12,4
affecting,12,12,26,31,44,77
regard,39,29,40,102,119,101
prompted,4,1,10,11,4,2
claiming,19,16,29,83,132,32
fault,49,24,44,97,23,20
hitting,4,0,1,3,1,3
differently,1,2,4,6,1,1
titled,7,5,2,9,3,1
originating,5,0,1,12,4,0
finance,24,248,50,194,75,38
indicated,52,18,54,152,59,38
general,21,21,40,89,78,44
ledger,8,1,1,6,12,2
escalated,23,4,11,51,8,6
form,123,49,93,316,129,161
separate,33,16,35,60,48,42
faxed,34,14,35,160,55,35
ach,45,20,29,20,6,1
adjustment,11,13,14,47,22,7
anywhere,19,8,25,35,19,13
trace,20,1,2,1,4,0
partner,15,2,15,19,9,1
processor,7,0,1,91,2,2
purchased,42,139,125,215,119,44
portion,19,7,30,40,27,15
internally,6,2,6,7,1,3
specialist,15,5,25,115,10,2
upper,3,1,1,8,1,0
management,28,22,29,64,231,39
awaiting,4,3,0,16,4,2
assigned,8,4,15,172,52,16
assist,35,24,33,132,33,39
jpmorgan,9,1,4,14,1,0
abruptly,5,2,8,7,6,0
restricted,5,2,7,4,8,1
preventing,5,3,5,23,13,29
employment,13,30,11,61,115,42
simple,58,15,18,50,16,26
negatively,12,14,32,29,48,55
dumb,2,2,0,1,0,2
almost,52,43,66,221,73,60
missed,11,38,75,183,57,52
mortgage,102,23,62,6185,248,289
residence,13,12,4,109,40,12
important,19,9,18,49,32,13
housing,5,4,2,117,16,26
awarded,10,5,24,16,14,4
qualified,15,3,27,105,10,4
correspondence,22,21,37,137,114,69
quoted,4,5,8,25,9,1
inquiry,70,52,133,118,49,991
determine,20,6,29,55,23,24
whether,40,7,42,57,46,25
ongoing,7,4,20,51,24,15
electronically,12,4,18,22,8,13
cfpb,79,36,99,365,165,195
representing,2,2,4,35,63,5
unfortunate,5,0,4,11,1,4
incredibly,5,0,6,7,6,4
intend,7,2,8,16,15,20
unless,36,27,28,77,80,47
unethical,19,15,18,69,36,12
ready,7,7,13,63,13,12
quote,5,6,8,67,10,3
recognizing,1,2,0,2,0,0
identifier,2,0,0,1,1,2
effect,16,11,38,55,31,24
travelling,2,0,1,0,1,0
touched,1,1,0,1,0,0
main,20,25,21,31,23,14
disconnected,10,3,20,15,34,15
stranded,2,1,4,1,0,0
apologize,12,4,7,12,3,4
suspicious,19,3,22,9,14,33
caller,9,4,8,4,123,1
comment,7,7,5,23,23,35
reading,11,14,17,19,9,8
note,64,65,81,528,171,60
freedom,1,3,14,119,3,3
paycheck,40,8,7,10,26,3
duplicate,17,5,22,20,12,46
bmo,10,2,0,5,0,0
harris,9,2,0,6,30,0
helping,20,13,22,64,13,12
scheduling,7,1,4,8,1,0
virtual,8,0,0,1,0,0
totally,23,13,23,53,23,30
penalty,37,17,57,116,38,21
afford,18,41,19,176,80,4
beyond,19,14,20,49,36,21
tight,5,1,1,7,2,0
begging,2,5,2,6,1,1
acknowledge,20,8,21,65,40,14
reverse,40,4,52,94,8,4
forgiven,1,2,6,7,5,3
attentive,1,0,0,0,0,0
avoided,2,2,2,8,1,1
individual,69,19,39,63,113,70
sole,13,4,9,23,10,9
obligation,12,26,16,89,77,44
hope,47,16,42,105,42,31
retired,11,5,8,35,8,8
bottom,12,6,17,36,20,4
mystery,3,0,0,1,0,1
shopper,3,0,1,0,0,0
town,9,3,11,46,11,10
visiting,6,1,3,4,1,1
assignment,2,2,2,150,95,2
wire,41,2,10,15,3,1
agreed,61,77,124,274,184,123
else,58,32,82,166,150,64
consisted,3,0,2,8,7,2
counterfeit,11,1,0,0,0,0
terrible,7,2,7,24,9,3
blaming,3,0,4,4,0,1
duped,4,0,4,2,1,0
backing,1,0,0,4,2,1
induced,5,0,1,4,0,0
exchange,26,4,5,18,6,3
