token,Bankrekening,Consumentenkrediet,Creditcard,Hypotheek,Incasso,Kredietregistratie
freak,0,0,0,5,2,0
bite,0,0,0,2,1,0
tongue,0,0,0,1,0,0
recast,0,0,0,35,0,0
cast,0,0,0,3,1,1
supervise,0,0,0,1,1,0
conceive,0,0,0,2,0,0
tangible,0,0,0,3,1,5
respa,0,0,0,76,7,0
sls,0,0,0,273,6,0
interagency,0,0,0,4,0,0
enumerate,0,0,0,1,0,0
hoepa,0,0,0,3,0,0
mortgagesxxxx,0,0,0,1,0,0
ecoa,0,0,0,2,0,0
cont,0,0,0,2,3,0
furnishing,0,0,0,1,0,2
dish,0,0,0,1,8,1
verb,0,0,0,1,0,0
garner,0,0,0,1,3,0
securitization,0,0,0,14,8,0
infraction,0,0,0,3,2,2
iceberg,0,0,0,2,0,0
sewer,0,0,0,6,0,0
skirting,0,0,0,2,0,0
emphasis,0,0,0,3,2,3
vanderbilt,0,0,0,7,0,0
reo,0,0,0,7,1,0
natonstar,0,0,0,1,0,0
impartial,0,0,0,1,0,1
substitution,0,0,0,5,4,0
fannie,0,0,0,22,1,0
mae,0,0,0,21,7,0
doubtful,0,0,0,2,1,1
happende,0,0,0,2,0,0
bless,0,0,0,5,1,1
gang,0,0,0,2,0,1
flagged,0,0,0,3,0,1
construct,0,0,0,4,0,2
coating,0,0,0,1,0,0
covering,0,0,0,1,0,0
ombudsman,0,0,0,25,16,2
deadbeat,0,0,0,4,6,0
inacurate,0,0,0,1,0,0
doom,0,0,0,2,1,0
abbreviation,0,0,0,1,0,0
breakage,0,0,0,2,0,0
inefficiency,0,0,0,6,0,1
clueles,0,0,0,1,0,0
astonishing,0,0,0,1,0,0
addmendment,0,0,0,1,0,0
movers,0,0,0,1,0,0
reschedule,0,0,0,14,3,0
nessesary,0,0,0,1,0,0
digging,0,0,0,1,2,0
exceptional,0,0,0,3,2,0
sterns,0,0,0,1,0,0
transferee,0,0,0,3,0,0
owen,0,0,0,4,0,0
asc,0,0,0,90,0,0
preservation,0,0,0,33,0,0
appeals,0,0,0,4,4,0
chart,0,0,0,2,1,1
equate,0,0,0,4,1,0
finalization,0,0,0,3,0,0
condominium,0,0,0,15,0,0
snarky,0,0,0,2,0,0
purgatory,0,0,0,2,0,0
hell,0,0,0,3,0,0
soooooo,0,0,0,1,0,0
assigmnet,0,0,0,1,0,0
rmb,0,0,0,6,0,0
pooling,0,0,0,5,3,0
psa,0,0,0,11,2,0
mortagage,0,0,0,8,0,2
scedule,0,0,0,1,0,0
shortyly,0,0,0,1,0,0
duel,0,0,0,7,0,0
rtr,0,0,0,16,0,0
provisos,0,0,0,1,0,0
reassign,0,0,0,7,4,0
spoc,0,0,0,26,0,0
boilerplate,0,0,0,6,0,0
adversarial,0,0,0,2,2,0
painstaking,0,0,0,1,0,0
homeequity,0,0,0,2,0,0
mychapter,0,0,0,1,0,0
sevenmonth,0,0,0,1,0,0
asit,0,0,0,1,0,0
xxxxmortgage,0,0,0,1,0,0
cannotunderstand,0,0,0,1,0,0
timeagain,0,0,0,1,0,0
easilymake,0,0,0,1,0,0
practiceespecially,0,0,0,1,0,0
planand,0,0,0,1,0,0
asimple,0,0,0,1,0,0
thefinancial,0,0,0,1,0,0
thechapter,0,0,0,1,0,0
givenvarious,0,0,0,1,0,0
iwa,0,0,0,3,0,0
designation,0,0,0,2,1,3
beremove,0,0,0,2,0,0
arequ,0,0,0,1,0,0
notedthat,0,0,0,1,0,0
tofax,0,0,0,1,0,0
okxxxx,0,0,0,1,0,0
faxon,0,0,0,2,0,0
becontacte,0,0,0,1,0,0
thetreatment,0,0,0,1,0,0
wfhm,0,0,0,32,0,0
reconveyance,0,0,0,9,0,0
invisible,0,0,0,1,0,1
overlay,0,0,0,3,0,0
loancare,0,0,0,88,2,0
disband,0,0,0,1,0,0
affirmative,0,0,0,5,2,0
affiant,0,0,0,1,0,0
magnitude,0,0,0,4,1,0
erosion,0,0,0,1,0,0
moral,0,0,0,6,0,0
informationin,0,0,0,1,0,0
rov,0,0,0,1,0,0
usbankcorp,0,0,0,3,0,0
phh,0,0,0,89,0,0
quicken,0,0,0,104,0,0
loans,0,0,0,6,1,4
highest,0,0,0,1,0,0
supersede,0,0,0,2,1,1
barn,0,0,0,2,0,0
berm,0,0,0,5,0,0
misspoke,0,0,0,2,0,0
vastly,0,0,0,2,0,0
inadequately,0,0,0,2,1,0
crude,0,0,0,1,0,0
embrace,0,0,0,21,0,0
mip,0,0,0,40,0,0
streamline,0,0,0,24,0,1
mutable,0,0,0,1,1,0
dil,0,0,0,5,0,0
appologize,0,0,0,1,0,0
coorect,0,0,0,1,0,0
handout,0,0,0,4,0,0
cival,0,0,0,1,0,0
responsethe,0,0,0,1,0,0
fka,0,0,0,1,2,0
cerificateholder,0,0,0,1,0,0
knoweledge,0,0,0,1,0,0
loacate,0,0,0,1,0,0
vacant,0,0,0,38,4,0
comfirmation,0,0,0,1,0,0
cambe,0,0,0,1,0,0
nka,0,0,0,1,0,0
poetetially,0,0,0,1,0,0
isue,0,0,0,1,0,0
winterize,0,0,0,4,1,0
xxxxxxxxxxxxplease,0,0,0,1,0,0
billpayer,0,0,0,1,0,0
retraining,0,0,0,1,0,0
retrain,0,0,0,2,0,0
injunction,0,0,0,4,7,1
reposte,0,0,0,4,0,0
stepstool,0,0,0,1,0,0
abundantly,0,0,0,1,2,0
vast,0,0,0,1,0,0
judiciary,0,0,0,12,1,1
freeloader,0,0,0,1,0,0
abnegate,0,0,0,1,0,0
retaining,0,0,0,1,0,0
detach,0,0,0,3,0,0
cow,0,0,0,1,0,0
citizensone,0,0,0,2,0,0
avm,0,0,0,1,0,0
finagled,0,0,0,1,0,0
unclean,0,0,0,2,0,0
computerize,0,0,0,2,1,1
inconsistancie,0,0,0,1,0,0
carrington,0,0,0,112,1,0
disqualifier,0,0,0,1,0,0
criteriea,0,0,0,1,0,0
modifacation,0,0,0,2,0,0
monthy,0,0,0,2,0,0
unseal,0,0,0,1,0,1
unsealed,0,0,0,1,0,0
researchng,0,0,0,1,0,0
disconcert,0,0,0,1,2,0
unintended,0,0,0,1,0,0
ag,0,0,0,3,4,5
virtue,0,0,0,4,0,0
rcs,0,0,0,15,2,0
forclosre,0,0,0,1,0,0
attemtps,0,0,0,1,0,0
pfd,0,0,0,3,0,0
pfdh,0,0,0,1,0,0
swift,0,0,0,1,1,0
interface,0,0,0,2,0,4
loop,0,0,0,8,2,4
andinformation,0,0,0,1,0,0
morter,0,0,0,1,0,0
ougt,0,0,0,1,0,0
tous,0,0,0,1,0,0
rebound,0,0,0,2,0,0
uncertainty,0,0,0,3,0,0
cave,0,0,0,1,1,0
entail,0,0,0,3,1,0
analyize,0,0,0,1,0,0
penalite,0,0,0,1,0,0
ative,0,0,0,1,0,0
debauchery,0,0,0,1,0,0
gloss,0,0,0,1,0,0
atte,0,0,0,1,0,0
mpte,0,0,0,1,0,0
moot,0,0,0,4,2,0
ra,0,0,0,1,1,0
representati,0,0,0,1,0,0
unimportant,0,0,0,1,0,0
fi,0,0,0,9,0,1
infuriating,0,0,0,1,0,0
misapplication,0,0,0,5,1,0
dovenmuehle,0,0,0,5,0,0
acept,0,0,0,1,0,0
callous,0,0,0,1,0,0
setrus,0,0,0,2,0,0
filebankruptcy,0,0,0,1,0,0
anew,0,0,0,4,0,0
refinancehouse,0,0,0,1,0,0
payt,0,0,0,1,0,0
referthem,0,0,0,1,0,0
asto,0,0,0,1,0,0
amerisave,0,0,0,19,0,0
stoppedright,0,0,0,1,0,0
xxxxxxxxprevious,0,0,0,1,0,0
xxxxxxxxoriginal,0,0,0,1,0,0
deede,0,0,0,4,0,0
mortgsge,0,0,0,1,0,0
leiu,0,0,0,3,0,0
nci,0,0,0,3,0,0
delinguency,0,0,0,1,0,0
afoul,0,0,0,1,0,0
linger,0,0,0,2,1,0
diligent,0,0,0,5,1,4
attourney,0,0,0,1,0,0
sponsor,0,0,0,5,1,0
aggravate,0,0,0,1,2,3
traumatize,0,0,0,2,0,0
foregone,0,0,0,1,0,0
gradually,0,0,0,1,1,0
clamor,0,0,0,1,0,0
collar,0,0,0,3,0,1
criminologist,0,0,0,1,0,0
curb,0,0,0,2,0,0
messy,0,0,0,4,0,0
paucity,0,0,0,2,0,0
brilliant,0,0,0,1,1,0
payemtns,0,0,0,1,0,0
sendthem,0,0,0,1,0,0
persistent,0,0,0,5,5,11
titel,0,0,0,1,0,0
escro,0,0,0,1,0,0
underwritter,0,0,0,2,0,0
gotton,0,0,0,1,0,0
stearn,0,0,0,9,0,0
stearns,0,0,0,8,0,0
tih,0,0,0,1,0,0
continuation,0,0,0,3,4,1
bonafide,0,0,0,1,0,0
hiding,0,0,0,2,0,0
legalize,0,0,0,1,0,0
swim,0,0,0,2,0,0
piranhas,0,0,0,1,0,0
banckruptcy,0,0,0,1,0,1
ies,0,0,0,1,0,0
pendency,0,0,0,2,1,0
authenticated,0,0,0,4,1,0
offend,0,0,0,4,2,1
physcial,0,0,0,1,0,0
wet,0,0,0,4,2,6
expropriation,0,0,0,1,0,0
unaffilated,0,0,0,1,0,0
expropriate,0,0,0,1,0,0
rushmore,0,0,0,42,1,0
ervice,0,0,0,1,0,0
jeopridise,0,0,0,1,0,0
reversely,0,0,0,1,0,0
dieum,0,0,0,1,0,0
venta,0,0,0,1,0,0
hesitant,0,0,0,2,2,1
junction,0,0,0,1,0,0
xiv,0,0,0,1,0,0
subtitle,0,0,0,1,2,0
depository,0,0,0,2,0,0
waif,0,0,0,1,0,0
clsoing,0,0,0,2,0,0
liquidity,0,0,0,2,0,0
coldwell,0,0,0,6,0,0
sin,0,0,0,1,0,0
lace,0,0,0,1,0,0
tarp,0,0,0,9,0,0
stonegate,0,0,0,16,0,0
cohort,0,0,0,3,0,0
nms,0,0,0,5,0,0
myold,0,0,0,1,0,0
mycounty,0,0,0,1,0,0
installmentdue,0,0,0,1,0,0
bankwa,0,0,0,1,0,0
phonethat,0,0,0,1,0,0
usesa,0,0,0,1,0,0
myamount,0,0,0,1,0,0
thatthey,0,0,0,2,0,0
cansend,0,0,0,1,0,0
ispoke,0,0,0,1,0,0
customercustomer,0,0,0,1,0,0
thecounty,0,0,0,1,0,0
countyha,0,0,0,1,0,0
toxxxx,0,0,0,1,1,1
notreceive,0,0,0,1,0,0
constantlycalle,0,0,0,1,0,0
onefrom,0,0,0,1,0,0
xxxxas,0,0,0,1,0,0
breather,0,0,0,1,0,0
forgiving,0,0,0,1,0,0
forclose,0,0,0,14,0,1
stamina,0,0,0,1,0,0
forgivin,0,0,0,1,0,0
instatement,0,0,0,2,0,0
indentifye,0,0,0,1,0,0
repost,0,0,0,2,0,1
misposte,0,0,0,2,0,0
misposting,0,0,0,1,0,0
bpo,0,0,0,30,1,0
surgically,0,0,0,1,0,0
actuality,0,0,0,7,0,0
resp,0,0,0,3,0,0
reconveye,0,0,0,1,0,0
possessionxxxx,0,0,0,1,0,0
fema,0,0,0,17,1,0
rescuer,0,0,0,1,0,0
nationalstar,0,0,0,1,0,0
ns,0,0,0,9,0,0
bridge,0,0,0,7,5,0
paym,0,0,0,1,0,0
ent,0,0,0,2,1,0
ell,0,0,0,2,1,0
tatement,0,0,0,2,0,0
contacte,0,0,0,2,0,0
statem,0,0,0,1,0,0
aga,0,0,0,1,1,0
ention,0,0,0,1,0,0
further,0,0,0,3,1,0
badger,0,0,0,1,6,0
stern,0,0,0,4,1,0
backpedal,0,0,0,1,0,0
abjure,0,0,0,1,0,0
censure,0,0,0,1,0,0
hinge,0,0,0,1,0,0
frantic,0,0,0,2,0,1
overbille,0,0,0,2,2,0
lockbox,0,0,0,3,0,0
generation,0,0,0,3,0,0
janaury,0,0,0,1,0,0
fence,0,0,0,5,0,0
jacuzzi,0,0,0,2,0,0
weren,0,0,0,2,0,0
couldn,0,0,0,1,0,1
rust,0,0,0,1,1,0
forecloser,0,0,0,4,0,0
lam,0,0,0,1,0,0
modified,0,0,0,5,0,1
homecoming,0,0,0,7,0,0
ballon,0,0,0,1,0,0
fricking,0,0,0,1,0,0
ruffly,0,0,0,1,0,0
sitituation,0,0,0,1,0,0
invovle,0,0,0,1,0,0
song,0,0,0,3,1,1
merry,0,0,0,2,0,0
fnance,0,0,0,1,0,0
refigure,0,0,0,1,0,0
mortga,0,0,0,2,0,0
ke,0,0,0,1,0,0
coordination,0,0,0,4,0,0
prep,0,0,0,1,0,0
reconfirm,0,0,0,1,0,0
explinatin,0,0,0,1,0,0
coordinate,0,0,0,8,0,0
couriere,0,0,0,1,0,0
cardinal,0,0,0,13,1,0
sebonic,0,0,0,14,0,0
narrative,0,0,0,2,0,0
deceivableness,0,0,0,1,0,0
paying,0,0,0,1,0,0
cheating,0,0,0,1,0,0
aovide,0,0,0,1,0,0
forcelosure,0,0,0,1,0,0
spoent,0,0,0,1,0,0
lwender,0,0,0,1,0,0
proiperty,0,0,0,1,0,0
franchise,0,0,0,1,0,0
orient,0,0,0,2,0,0
ligitation,0,0,0,1,0,0
proclaim,0,0,0,2,1,1
undercover,0,0,0,1,0,0
mortgagor,0,0,0,24,1,0
gree,0,0,0,1,0,0
desease,0,0,0,1,0,0
forfite,0,0,0,1,0,0
plese,0,0,0,1,1,0
righ,0,0,0,1,0,0
preditory,0,0,0,2,0,0
lendor,0,0,0,3,0,0
harerass,0,0,0,1,0,0
prp,0,0,0,1,0,0
kyhc,0,0,0,28,0,0
lable,0,0,0,1,0,0
labled,0,0,0,1,0,0
dispursement,0,0,0,1,0,0
disp,0,0,0,2,0,1
forceplace,0,0,0,2,0,0
requeste,0,0,0,1,0,0
leter,0,0,0,1,1,0
athorize,0,0,0,1,0,0
efuru,0,0,0,1,0,0
partally,0,0,0,1,0,0
initail,0,0,0,1,0,0
staes,0,0,0,1,0,0
neede,0,0,0,3,1,0
stalling,0,0,0,3,0,0
autorize,0,0,0,1,0,1
severl,0,0,0,1,0,0
defacto,0,0,0,1,0,0
prequalification,0,0,0,2,0,0
submmite,0,0,0,1,0,0
affordability,0,0,0,4,0,0
cluster,0,0,0,2,0,0
preapproval,0,0,0,8,0,0
preapprove,0,0,0,7,0,0
nominee,0,0,0,4,2,0
qwrs,0,0,0,1,0,0
mu,0,0,0,1,0,0
cco,0,0,0,16,0,0
happe,0,0,0,2,0,0
sl,0,0,0,9,0,0
blessing,0,0,0,3,0,1
sizable,0,0,0,2,0,0
reversion,0,0,0,1,0,0
xxxxcaliber,0,0,0,1,0,0
charity,0,0,0,1,4,0
vir,0,0,0,1,0,0
gphl,0,0,0,2,0,0
paymentsi,0,0,0,1,0,0
unaudited,0,0,0,1,0,0
unble,0,0,0,1,0,0
misguiding,0,0,0,1,0,0
forced,0,0,0,14,0,0
phl,0,0,0,12,0,0
hhfp,0,0,0,1,0,0
upb,0,0,0,7,0,0
mediationon,0,0,0,1,0,0
modificationchase,0,0,0,1,0,0
transcribe,0,0,0,3,0,0
dayfor,0,0,0,1,0,0
quitclaim,0,0,0,12,0,0
cmi,0,0,0,19,1,0
contributor,0,0,0,5,0,0
rfi,0,0,0,8,0,0
residency,0,0,0,4,6,0
loe,0,0,0,5,0,0
foregoing,0,0,0,2,4,2
petitioned,0,0,0,1,0,0
seasonally,0,0,0,2,0,0
subjectivity,0,0,0,1,0,0
calculated,0,0,0,6,0,0
classifie,0,0,0,1,0,0
seasonal,0,0,0,6,0,0
objectively,0,0,0,1,0,0
mathematically,0,0,0,1,0,0
contingently,0,0,0,1,0,0
rectification,0,0,0,1,0,0
pyramiding,0,0,0,1,0,0
coerce,0,0,0,2,7,1
unquestionable,0,0,0,2,0,0
james,0,0,0,3,1,0
nutter,0,0,0,4,0,0
entitled,0,0,0,1,0,1
aurora,0,0,0,5,0,0
remission,0,0,0,1,0,0
underhande,0,0,0,2,0,1
meltdown,0,0,0,4,0,0
lip,0,0,0,1,0,1
asreckless,0,0,0,1,0,0
inflation,0,0,0,2,0,0
theability,0,0,0,1,0,0
bankunite,0,0,0,3,0,0
med,0,0,0,1,7,0
builde,0,0,0,1,0,0
sfhdf,0,0,0,2,0,0
fo,0,0,0,3,1,2
bankunited,0,0,0,1,0,0
hen,0,0,0,3,0,0
floodplain,0,0,0,1,0,0
surprisedly,0,0,0,1,0,0
disc,0,0,0,1,0,0
uss,0,0,0,1,0,0
mischarge,0,0,0,1,0,0
landscaper,0,0,0,2,0,0
mer,0,0,0,6,1,0
uncashed,0,0,0,3,1,0
seeminglly,0,0,0,1,0,0
distortion,0,0,0,1,0,0
decativate,0,0,0,1,0,0
sucess,0,0,0,1,0,0
repeatly,0,0,0,3,2,0
insursance,0,0,0,1,0,0
lasp,0,0,0,1,0,0
modificatin,0,0,0,2,0,0
neighborehood,0,0,0,1,0,0
seasoned,0,0,0,1,0,1
forebear,0,0,0,1,0,0
tin,0,0,0,1,0,0
ang,0,0,0,1,0,0
br,0,0,0,4,1,0
unpaired,0,0,0,1,0,0
microfilm,0,0,0,1,0,0
massage,0,0,0,1,1,1
earmark,0,0,0,1,0,0
neverreceive,0,0,0,1,0,0
wasbecause,0,0,0,1,0,0
heardfrom,0,0,0,1,0,0
wouldcontact,0,0,0,1,0,0
undervalue,0,0,0,1,0,0
forgo,0,0,0,3,0,1
golden,0,0,0,2,0,0
unaccounte,0,0,0,1,0,0
scatter,0,0,0,4,0,1
hardwood,0,0,0,4,1,0
oppression,0,0,0,1,0,0
hafa,0,0,0,23,0,0
robosigne,0,0,0,1,0,0
defunct,0,0,0,8,10,2
disbar,0,0,0,4,4,0
frabicate,0,0,0,1,0,0
mannual,0,0,0,1,0,0
xxxxmet,0,0,0,1,0,0
chkg,0,0,0,1,0,0
mtg,0,0,0,27,1,0
ckg,0,0,0,1,0,0
resolcve,0,0,0,1,0,0
axxxx,0,0,0,1,0,0
xxxxnow,0,0,0,1,0,0
cornerstone,0,0,0,2,0,0
skyrocket,0,0,0,2,0,0
portfoloio,0,0,0,1,0,0
servince,0,0,0,1,0,0
tried,0,0,0,1,0,0
ttached,0,0,0,1,0,0
hous,0,0,0,1,1,0
rece,0,0,0,1,0,0
ive,0,0,0,1,0,0
ire,0,0,0,2,0,0
wha,0,0,0,1,0,1
tever,0,0,0,1,0,0
guaranteed,0,0,0,1,0,0
roller,0,0,0,1,0,0
coaster,0,0,0,1,0,0
chxxxx,0,0,0,3,2,0
tank,0,0,0,4,1,0
delaying,0,0,0,2,0,0
rom,0,0,0,1,0,0
cuma,0,0,0,1,0,0
sinc,0,0,0,2,0,0
clo,0,0,0,1,0,0
convolute,0,0,0,1,0,0
crucially,0,0,0,1,0,0
embark,0,0,0,1,1,0
enlist,0,0,0,3,0,0
catastrophe,0,0,0,1,0,0
telemarketer,0,0,0,1,1,0
dialogue,0,0,0,4,2,0
madden,0,0,0,1,0,0
renovate,0,0,0,3,1,0
inhabit,0,0,0,1,0,0
vandalize,0,0,0,2,0,0
disarray,0,0,0,2,0,0
apathetic,0,0,0,1,0,0
rot,0,0,0,3,1,1
daunting,0,0,0,1,0,0
loom,0,0,0,5,0,0
accessibility,0,0,0,1,0,0
uncontrollably,0,0,0,2,0,0
receptionist,0,0,0,3,14,0
rattle,0,0,0,1,2,0
transmittal,0,0,0,1,3,0
recission,0,0,0,4,0,0
orchestrated,0,0,0,1,0,0
promulgate,0,0,0,2,0,0
simultaneous,0,0,0,2,0,1
hecm,0,0,0,5,0,0
lite,0,0,0,1,0,0
pe,0,0,0,1,0,0
eek,0,0,0,1,0,0
corr,0,0,0,1,0,0
ectly,0,0,0,1,0,0
wer,0,0,0,1,0,0
whi,0,0,0,1,0,0
diffucultie,0,0,0,1,0,0
bankrupcty,0,0,0,2,0,1
helps,0,0,0,1,0,0
moorage,0,0,0,1,0,0
pretender,0,0,0,2,0,0
scum,0,0,0,3,0,0
ocwenloan,0,0,0,1,0,0
drawdown,0,0,0,1,0,0
rescan,0,0,0,1,0,0
unwieldy,0,0,0,1,0,0
exe,0,0,0,1,0,0
enhanced,0,0,0,2,28,0
tmscustomer,0,0,0,1,0,0
thereunder,0,0,0,1,0,0
understate,0,0,0,4,0,0
imprison,0,0,0,1,0,0
expir,0,0,0,1,0,0
whichever,0,0,0,8,3,0
subsection,0,0,0,1,19,19
railing,0,0,0,2,0,0
aggreement,0,0,0,3,0,0
entrance,0,0,0,1,1,1
adjacent,0,0,0,2,2,0
doore,0,0,0,1,0,0
reinstatment,0,0,0,2,0,0
unsettling,0,0,0,2,1,0
startup,0,0,0,1,0,0
blizzard,0,0,0,1,0,0
champion,0,0,0,11,1,0
gobbledy,0,0,0,1,0,0
gook,0,0,0,1,0,0
magic,0,0,0,1,1,0
deparment,0,0,0,1,0,0
discrepancie,0,0,0,1,0,0
streamlined,0,0,0,9,0,0
heartache,0,0,0,2,0,0
slogan,0,0,0,1,0,0
unexplaine,0,0,0,1,0,0
irst,0,0,0,1,0,0
ment,0,0,0,4,1,1
lorida,0,0,0,1,0,0
ev,0,0,0,1,0,0
unfaithful,0,0,0,1,0,0
advantaged,0,0,0,1,0,0
selen,0,0,0,1,0,0
evry,0,0,0,2,0,0
owr,0,0,0,1,0,0
respone,0,0,0,1,0,0
proudly,0,0,0,2,0,0
pp,0,0,0,3,0,0
awareness,0,0,0,1,1,1
profess,0,0,0,1,0,0
penetrate,0,0,0,1,0,0
seldom,0,0,0,1,1,0
xxxxxxxxsummary,0,0,0,1,0,0
repetitively,0,0,0,2,2,0
xxxxforfeit,0,0,0,1,0,0
reportsletter,0,0,0,1,0,0
nationstarcourt,0,0,0,1,0,0
receiptfederal,0,0,0,1,0,0
disbursing,0,0,0,1,0,0
debris,0,0,0,2,0,0
tyhem,0,0,0,1,0,0
foreclosue,0,0,0,1,0,0
spokesperson,0,0,0,1,0,0
begfin,0,0,0,1,0,0
dshort,0,0,0,1,0,0
werer,0,0,0,1,0,0
filer,0,0,0,1,0,1
thzat,0,0,0,1,0,0
constanly,0,0,0,1,0,0
mus,0,0,0,1,0,1
jigsaw,0,0,0,1,0,0
ditechs,0,0,0,1,0,0
alarmed,0,0,0,2,1,0
proce,0,0,0,2,0,0
preservationist,0,0,0,2,0,0
salaried,0,0,0,1,0,0
seam,0,0,0,3,1,0
cohesively,0,0,0,1,0,0
demoralize,0,0,0,1,0,0
patronizing,0,0,0,1,0,0
falter,0,0,0,2,0,0
runaway,0,0,0,1,0,0
infantile,0,0,0,1,0,0
existance,0,0,0,1,0,0
naca,0,0,0,8,0,0
restarting,0,0,0,1,0,0
raw,0,0,0,2,0,1
statistic,0,0,0,2,0,0
satifaction,0,0,0,1,0,0
backburner,0,0,0,1,0,0
midigator,0,0,0,1,0,0
owcen,0,0,0,7,1,0
dive,0,0,0,2,0,1
borderline,0,0,0,3,3,0
sleeze,0,0,0,1,0,0
demo,0,0,0,1,1,0
utahxxxx,0,0,0,1,0,0
hardcopy,0,0,0,1,1,0
dhi,0,0,0,7,0,0
cas,0,0,0,1,0,0
benifeit,0,0,0,1,0,0
elidgable,0,0,0,1,0,0
bankruptsy,0,0,0,3,1,1
bankruptsie,0,0,0,1,0,0
counsellor,0,0,0,1,0,0
vibration,0,0,0,1,1,0
chest,0,0,0,2,0,0
tho,0,0,0,6,0,1
contemptuous,0,0,0,1,0,0
notepad,0,0,0,1,0,0
portrait,0,0,0,1,0,0
sneer,0,0,0,1,0,0
scoff,0,0,0,1,0,0
tr,0,0,0,1,0,0
recess,0,0,0,2,0,0
longe,0,0,0,1,0,0
unbiased,0,0,0,1,0,1
termite,0,0,0,4,1,0
infest,0,0,0,1,4,0
ofc,0,0,0,1,0,0
joist,0,0,0,1,0,0
subfloor,0,0,0,1,0,0
brass,0,0,0,1,0,0
vis,0,0,0,2,0,0
godsend,0,0,0,1,0,0
grasp,0,0,0,1,1,1
clearspre,0,0,0,9,0,0
abstractor,0,0,0,2,0,0
evp,0,0,0,1,0,0
radical,0,0,0,1,0,0
patronage,0,0,0,1,0,0
trough,0,0,0,2,2,1
huaband,0,0,0,1,0,0
defualt,0,0,0,1,0,0
pleae,0,0,0,2,0,0
cia,0,0,0,1,0,0
mega,0,0,0,1,0,1
heal,0,0,0,3,1,0
courtroom,0,0,0,1,2,1
medicare,0,0,0,2,3,2
cascade,0,0,0,1,1,0
turnoff,0,0,0,1,0,0
reentere,0,0,0,1,0,0
copper,0,0,0,2,0,0
soldering,0,0,0,1,0,0
livable,0,0,0,5,0,0
uscfpb,0,0,0,3,0,1
ymortgage,0,0,0,1,0,0
fell,0,0,0,1,0,0
xxxxxxxxhomerushmore,0,0,0,1,0,0
servicesphoto,0,0,0,1,0,0
centercurrent,0,0,0,1,0,0
outcurrent,0,0,0,1,0,0
informationloan,0,0,0,1,0,0
xxxxproperty,0,0,0,3,0,0
versionborrower,0,0,0,1,0,0
informationcurrent,0,0,0,1,0,0
xxxxxxxxfirst,0,0,0,1,0,0
pmimaturity,0,0,0,1,0,0
informationschedule,0,0,0,1,0,0
xxxxxxxxprincipal,0,0,0,1,0,0
xxxxxxxxtotal,0,0,0,1,0,0
xxxxxxxxpayment,0,0,0,1,0,0
thepayment,0,0,0,4,0,0
xxxxxxxxinterest,0,0,0,1,0,0
xxxxxxxxfor,0,0,0,1,0,0
hereyear,0,0,0,1,0,0
totalsprincipal,0,0,0,1,0,0
licensingequal,0,0,0,1,0,0
compressor,0,0,0,1,0,0
fan,0,0,0,5,0,1
appraising,0,0,0,2,0,0
payback,0,0,0,4,0,0
flooding,0,0,0,4,0,0
unlivable,0,0,0,4,0,0
restart,0,0,0,10,4,0
computerized,0,0,0,2,0,1
incontrovertible,0,0,0,1,0,0
citation,0,0,0,2,20,6
blighted,0,0,0,1,0,0
werll,0,0,0,1,0,0
hbor,0,0,0,5,0,0
amiount,0,0,0,1,0,0
column,0,0,0,5,0,4
intermediary,0,0,0,1,0,0
partook,0,0,0,1,0,0
strength,0,0,0,3,1,0
xxxxusd,0,0,0,1,0,0
companyreport,0,0,0,1,0,0
dmi,0,0,0,2,0,0
helpline,0,0,0,3,0,0
denie,0,0,0,2,0,0
woundere,0,0,0,1,0,0
starte,0,0,0,1,0,0
appraisel,0,0,0,3,0,0
sol,0,0,0,3,11,1
football,0,0,0,1,0,0
stadium,0,0,0,1,0,0
shenanigan,0,0,0,2,1,2
assignor,0,0,0,1,0,0
assigner,0,0,0,2,0,0
overstep,0,0,0,1,0,0
subservicer,0,0,0,2,0,0
motification,0,0,0,3,0,0
iitthe,0,0,0,1,0,0
automatied,0,0,0,1,0,0
difere,0,0,0,2,0,0
behindon,0,0,0,1,0,0
aprove,0,0,0,1,0,1
lesser,0,0,0,2,0,0
excitedly,0,0,0,1,0,0
uncompassionate,0,0,0,1,0,0
incorp,0,0,0,1,2,0
expansion,0,0,0,2,0,1
devastated,0,0,0,1,0,0
uptick,0,0,0,1,0,0
irrrl,0,0,0,4,0,0
capw,0,0,0,1,0,0
quagmire,0,0,0,1,0,0
reclassify,0,0,0,2,0,0
townemortgage,0,0,0,1,0,0
servicessubject,0,0,0,1,0,0
commentsmessage,0,0,0,1,0,0
xxxxssn,0,0,0,1,0,0
vulture,0,0,0,3,0,1
lowlife,0,0,0,1,0,0
tail,0,0,0,1,0,1
whee,0,0,0,1,1,0
going,0,0,0,2,0,0
diferent,0,0,0,4,0,0
eveythe,0,0,0,2,1,0
agin,0,0,0,1,0,0
purposly,0,0,0,1,0,0
inculde,0,0,0,1,0,0
floreclose,0,0,0,1,0,0
suppost,0,0,0,1,0,0
robosigner,0,0,0,2,0,0
years,0,0,0,1,1,0
preside,0,0,0,2,0,0
ehlp,0,0,0,9,0,0
solidifi,0,0,0,1,0,0
miscalculate,0,0,0,5,0,1
rolling,0,0,0,3,0,3
shy,0,0,0,2,0,1
align,0,0,0,1,2,1
balancel,0,0,0,1,0,0
scrape,0,0,0,2,0,0
